dataset,model,total_cost,avg_cost_per_prediction,false_positive_cost,false_negative_cost,estimated_revenue_loss,reputational_risk_score,risk_category
COMPAS,Logistic Regression,5200000,2401.847575057737,1600000,3600000,35238232.010572515,52.412311866475974,High
COMPAS,Random Forest,5890000,2720.554272517321,2020000,3870000,16236773.674033578,20.145952989168418,Low
COMPAS,Gradient Boosting,5325000,2459.584295612009,1415000,3910000,25503109.00937404,36.506529818493064,Medium
Loan,Logistic Regression,48000,324.3243243243243,23000,25000,526481715.0063056,8.446011295278463,Low
Loan,Random Forest,66000,445.94594594594594,21000,45000,747162673.3921815,13.402683620954576,Low
Loan,Gradient Boosting,65000,439.18918918918916,20000,45000,939470365.6998738,18.509851246125265,Low
Census,Logistic Regression,2684500,296.66261465355285,198500,2486000,358311370.48192775,100.0,Critical
Census,Random Forest,1951500,215.6591888606476,281500,1670000,362642310.31267935,46.366570436061075,Medium
Census,Gradient Boosting,1961500,216.7642833462261,183500,1778000,332975540.55507743,52.155600350408264,High
