salesforce_model_id,model_name,dataset,accuracy,precision,recall,f1_score,roc_auc,demographic_parity_diff,equal_opportunity_diff,equalized_odds_diff,disparate_impact_ratio,compliance_score,compliant,deployment_status,registration_date
SF_MODEL_1_1767476721,Logistic Regression,COMPAS,0.6859122401847575,0.6806387225548902,0.654510556621881,0.6673189823874756,0.7455903692296648,0.3523823201057251,0.3616242707477799,0.30298087283337444,2.261285683688768,0,False,REGISTERED,2026-01-03T21:45:21.299374
SF_MODEL_2_1767476721,Random Forest,COMPAS,0.6346420323325636,0.6185080264400378,0.6285988483685221,0.6235126130414088,0.6752153113318966,0.16236773674033578,0.16615575632082857,0.12381686823089841,1.4012802636582584,0,False,REGISTERED,2026-01-03T21:45:21.299551
SF_MODEL_3_1767476721,Gradient Boosting,COMPAS,0.6886836027713625,0.6970021413276232,0.6247600767754319,0.6589068825910931,0.7467671253480276,0.2550310900937404,0.26829926621706557,0.20277036933325882,1.8539428113461374,0,False,REGISTERED,2026-01-03T21:45:21.299580
SF_MODEL_4_1767476721,Logistic Regression,Loan,0.8108108108108109,0.8099173553719008,0.9514563106796117,0.875,0.7598705501618123,0.10529634300126112,0.01652298850574707,0.07969006568144493,1.1440897325280415,75,False,REGISTERED,2026-01-03T21:45:21.299605
SF_MODEL_5_1767476721,Random Forest,Loan,0.7972972972972973,0.8173913043478261,0.912621359223301,0.8623853211009175,0.7825242718446602,0.1494325346784363,0.04454022988505746,0.12941297208538585,1.2285438765670202,50,False,REGISTERED,2026-01-03T21:45:21.299625
SF_MODEL_6_1767476721,Gradient Boosting,Loan,0.8040540540540541,0.8245614035087719,0.912621359223301,0.8663594470046083,0.7725997842502698,0.18789407313997475,0.11853448275862066,0.1521243842364532,1.305327868852459,0,False,REGISTERED,2026-01-03T21:45:21.299646
SF_MODEL_7_1767476721,Logistic Regression,Census,0.8187645043651233,0.7176386913229018,0.4480461811722913,0.551667577911427,0.8514779728597222,0.17915568524096387,0.287777500434924,0.18225355810638058,6.310686383928571,0,False,REGISTERED,2026-01-03T21:45:21.299666
SF_MODEL_8_1767476721,Random Forest,Census,0.8455077909161234,0.7156565656565657,0.6292184724689165,0.6696597353497165,0.8925177521898047,0.18132115515633968,0.05225593198544698,0.06902882091207416,2.8947408479466428,50,False,REGISTERED,2026-01-03T21:45:21.299706
SF_MODEL_9_1767476721,Gradient Boosting,Census,0.8612001326113383,0.7878612716763006,0.6052397868561279,0.6845806127574083,0.9168263229180359,0.16648777027753872,0.1022653868554615,0.07969057981020142,3.1306034037720263,25,False,REGISTERED,2026-01-03T21:45:21.299735
